t,x0,x1,x2
5.21,-9.90759,-8.03177,30.9105
5.22,-9.71146,-7.66994,30.857
5.23,-9.50035,-7.325,30.7556
5.24,-9.27749,-7.00113,30.6098
5.25,-9.04618,-6.70173,30.4235
5.26,-8.80967,-6.42935,30.2011
5.27,-8.57114,-6.18578,29.9471
5.28,-8.33357,-5.9721,29.6658
5.29,-8.09973,-5.78875,29.3617
5.3,-7.87217,-5.63563,29.039
5.31,-7.65313,-5.51222,28.7015
5.32,-7.4446,-5.41768,28.3531
5.33,-7.24827,-5.3509,27.9971
5.34,-7.06556,-5.31064,27.6366
5.35,-6.89763,-5.29558,27.2745
5.36,-6.74542,-5.30437,26.9133
5.37,-6.60962,-5.33566,26.5555
5.38,-6.49077,-5.38819,26.2031
5.39,-6.3892,-5.46078,25.8581
5.4,-6.30513,-5.55233,25.5224
5.41,-6.23865,-5.66186,25.1976
5.42,-6.18976,-5.78848,24.8855
5.43,-6.15836,-5.93141,24.5875
5.44,-6.14431,-6.08994,24.3052
5.45,-6.14741,-6.26345,24.0401
5.46,-6.16743,-6.45135,23.7936
5.47,-6.2041,-6.65309,23.5674
5.48,-6.25713,-6.86811,23.3627
5.49,-6.32619,-7.09584,23.1813
5.5,-6.41094,-7.33564,23.0247
5.51,-6.511,-7.58679,22.8945
5.52,-6.62595,-7.84845,22.7922
5.53,-6.75533,-8.1196,22.7195
5.54,-6.89862,-8.39905,22.678
5.55,-7.05521,-8.68538,22.6694
5.56,-7.22441,-8.97691,22.695
5.57,-7.40542,-9.27164,22.7565
5.58,-7.59732,-9.56726,22.855
5.59,-7.79902,-9.86112,22.9916
5.6,-8.00929,-10.1502,23.1671
5.61,-8.22669,-10.4311,23.382
5.62,-8.44959,-10.7001,23.6362
5.63,-8.67614,-10.9531,23.9293
5.64,-8.90426,-11.1859,24.2601
5.65,-9.13166,-11.3939,24.6268
5.66,-9.35584,-11.5726,25.0266
5.67,-9.57407,-11.7173,25.4561
5.68,-9.78351,-11.8239,25.911
5.69,-9.98115,-11.8884,26.3859
5.7,-10.1639,-11.9074,26.8747
5.71,-10.3288,-11.8783,27.3707
5.72,-10.4729,-11.7994,27.8662
5.73,-10.5933,-11.6703,28.3532
5.74,-10.6875,-11.4916,28.8238
5.75,-10.7534,-11.2653,29.2696
5.76,-10.7894,-10.9946,29.683
5.77,-10.7942,-10.6839,30.0568
5.78,-10.7672,-10.3389,30.3845
5.79,-10.7086,-9.96589,30.6611
5.8,-10.619,-9.57204,30.8826
5.81,-10.4998,-9.16475,31.0464
5.82,-10.3528,-8.75151,31.1512
5.83,-10.1804,-8.33962,31.1973
5.84,-9.98562,-7.93591,31.186
5.85,-9.77159,-7.54655,31.1199
5.86,-9.54179,-7.17689,31.0024
5.87,-9.29982,-6.83137,30.8375
5.88,-9.04931,-6.5135,30.6299
5.89,-8.79383,-6.22583,30.3844
5.9,-8.53683,-5.97004,30.1061
5.91,-8.28151,-5.74702,29.7997
5.92,-8.03087,-5.55698,29.4702
5.93,-7.78758,-5.39954,29.122
5.94,-7.554,-5.2739,28.7593
5.95,-7.33219,-5.17892,28.3862
5.96,-7.12387,-5.11321,28.006
5.97,-6.93048,-5.07528,27.622
5.98,-6.75317,-5.06357,27.2372
5.99,-6.59282,-5.07652,26.8541
6,-6.4501,-5.11265,26.4751
6.01,-6.32545,-5.17053,26.1023
6.02,-6.21918,-5.2489,25.7377
6.03,-6.13142,-5.34658,25.3831
6.04,-6.0622,-5.46255,25.0402
6.05,-6.01146,-5.59591,24.7105
6.06,-5.97904,-5.74589,24.3956
6.07,-5.96475,-5.91181,24.097
6.08,-5.96836,-6.09308,23.8161
6.09,-5.9896,-6.2892,23.5546
6.1,-6.02818,-6.49967,23.3138
6.11,-6.0838,-6.72403,23.0953
6.12,-6.15612,-6.9618,22.9007
6.13,-6.24482,-7.21244,22.7317
6.14,-6.34952,-7.47533,22.5897
6.15,-6.46984,-7.74971,22.4767
6.16,-6.60534,-8.03469,22.3944
6.17,-6.75554,-8.32915,22.3444
6.18,-6.91987,-8.63174,22.3286
6.19,-7.09768,-8.94083,22.3487
6.2,-7.28822,-9.25444,22.4064
6.21,-7.4906,-9.57025,22.5032
6.22,-7.70377,-9.88555,22.6404
6.23,-7.92652,-10.1972,22.8191
6.24,-8.1574,-10.5017,23.0401
6.25,-8.39478,-10.795,23.3036
6.26,-8.63677,-11.0728,23.6095
6.27,-8.88122,-11.3303,23.9567
6.28,-9.12575,-11.5627,24.3436
6.29,-9.36768,-11.7647,24.7677
6.3,-9.60414,-11.9312,25.2255
6.31,-9.83204,-12.0574,25.7125
6.32,-10.0481,-12.1385,26.2231
6.33,-10.249,-12.1705,26.751
6.34,-10.4313,-12.1502,27.2885
6.35,-10.5917,-12.0754,27.8275
6.36,-10.727,-11.9451,28.3593
6.37,-10.8344,-11.7597,28.8747
6.38,-10.9113,-11.5212,29.3645
6.39,-10.9558,-11.2329,29.8199
6.4,-10.9664,-10.8996,30.2328
6.41,-10.9423,-10.5274,30.5959
6.42,-10.8835,-10.1235,30.9031
6.43,-10.7906,-9.69578,31.15
6.44,-10.6651,-9.25261,31.3336
6.45,-10.5089,-8.80248,31.4523
6.46,-10.3248,-8.35364,31.5065
6.47,-10.1158,-7.91379,31.4977
6.48,-9.88562,-7.48988,31.4289
6.49,-9.638,-7.08789,31.3038
6.5,-9.37694,-6.71274,31.1272
6.51,-9.10649,-6.36824,30.9044
6.52,-8.83059,-6.05714,30.6407
6.53,-8.55303,-5.78113,30.3418
6.54,-8.27735,-5.54105,30.0132
6.55,-8.0068,-5.33693,29.6601
6.56,-7.74429,-5.16818,29.2876
6.57,-7.49237,-5.03371,28.9001
6.58,-7.25322,-4.93211,28.5018
6.59,-7.02869,-4.86169,28.0966
6.6,-6.82027,-4.82068,27.6878
6.61,-6.62912,-4.80725,27.2785
6.62,-6.45615,-4.81961,26.8712
6.63,-6.30199,-4.85606,26.4684
6.64,-6.16707,-4.91503,26.0723
6.65,-6.05163,-4.99508,25.6847
